"","geocode","lon","lat"
"122","Newburgh, NY USA",-74.0104178,41.5034271
"123","Ithaca, NY USA",-76.5018807,42.4439614
"124","Lynbrook, NY USA",-73.6717969,40.6548253
"125","New Windsor, NY USA",-74.0237518,41.4767605
"126","Westwood, NJ USA",-74.0326395,40.9912087
"127","Weehawken, NJ USA",-74.0253715,40.7663711
"128","Bridgeton, NJ USA",-75.2340768,39.427337
"129","Goshen, NY USA",-74.3243191,41.4020382
"130","Owego, NY USA",-76.2621549,42.1034075
"131","Paramus, NJ USA",-74.0754189,40.9445428
"132","Montclair, NJ USA",-74.2090053,40.8259007
"133","Dover, NJ USA",-74.5621025,40.883988
"134","Elizabeth, NJ USA",-74.2107006,40.6639916
"135","Bethlehem, PA USA",-75.3704579,40.6259316
"136","Hurley, NY USA",-74.0612519,41.9245368
"137","Kingston, NY USA",-73.9973608,41.9270367
"138","Roosevelt, NY USA",-73.5890168,40.678713
"139","Highland Falls, NY USA",-73.9662504,41.3692605
"140","Monroe, NY USA",-74.1827119,41.3046016
"141","Syracruse, NY USA",-76.1474244,43.0481221
"142","Lodi, NJ USA",-74.0831971,40.8823215
"143","East Windsor, NJ USA",-74.5402506,40.2677539
"144","West Deptford, NJ USA",-75.1895576,39.8318378
"145","Wood Ridge, NJ USA",-74.0879195,40.8456555
"146","Cedar Knolls, NJ USA",-74.4500053,40.821763
"147","Northfield, NJ USA",-74.5501546,39.3703942
"148","Camden, NJ USA",-75.1196199,39.9259463
"149","East Orange, NJ USA",-74.2048677,40.767323
"150","Cape May Court House, NJ USA",-74.8237786,39.0826135
"151","Audubon, NJ USA",-75.0729504,39.8909466
"152","Mt. Holly, NJ USA",-74.7879393,39.9931438
"153","Somerville, NJ USA",-74.60988,40.5742696
"154","Morristown, NJ USA",-74.4815438,40.7967667
"155","Trenton, NJ USA",-74.7429384,40.2170534
"156","Flemington, NJ USA",-74.8593318,40.5123258
"157","Mechanicville, NY USA",-73.6873405,42.9028547
"158","Warwick, NY USA",-74.3822058,41.2638494
"159","Watertown, NY USA",-75.9107565,43.9747838
"160","Southampton, NY USA",-72.5678041,40.8598656
"161","Bayonne, NJ USA",-74.1143091,40.6687141
"162","East Clifton, NJ USA",-74.1637553,40.8584328
"163","Wallington, NJ USA",-74.1137537,40.8531553
"164","Saratoga Springs, NY USA",-73.7845651,43.0831301
"165","New Haven, CT USA",-72.9278835,41.308274
"166","Hamburg, NY USA",-78.8294768,42.7158927
"167","Bergenfield, NJ USA",-73.9973608,40.9275987
"168","Charleston, WV USA",-81.6326234,38.3498195
"169","Huntington, WV USA",-82.445154,38.4192496
"170","Parkersburg, WV USA",-81.5615135,39.2667418
"171","Hampton, VA USA",-76.3452218,37.0298687
"172","Norfolk, VA USA",-76.2858726,36.8507689
"173","Richmond, VA USA",-77.4360481,37.5407246
"174","Roanoke, VA USA",-79.9414266,37.2709704
"175","Lynchburg, VA USA",-79.1422464,37.4137536
"176","Petersburg, VA USA",-77.4019267,37.2279279
"177","Allentown, PA USA",-75.4901833,40.6084305
"178","Altoona, PA USA",-78.3947359,40.5186809
"179","Johnstown, PA USA",-78.9219698,40.3267407
"180","Erie, PA USA",-80.085059,42.1292241
"181","Harrisburg, PA USA",-76.8867008,40.2731911
"182","Kingston, PA USA",-75.8968635,41.2617481
"183","Lancaster, PA USA",-76.3055144,40.0378755
"184","Philadelphia, PA USA",-75.1652215,39.9525839
"185","Pittsburgh, PA USA",-79.9958864,40.4406248
"186","Rochester, PA USA",-80.2864509,40.7022882
"187","Reading, PA USA",-75.9268747,40.3356483
"188","Scranton, PA USA",-75.6624122,41.408969
"189","Williamsport, PA USA",-77.0010786,41.2411897
"190","York, PA USA",-76.727745,39.9625984
"191","Washington, DC USA",-77.0368707,38.9071923
"192","Dover, DE USA",-75.5243682,39.158168
"193","Baltimore, MD USA",-76.6121893,39.2903848
"194","Wheeling, WV USA",-80.7209149,40.0639616
"195","Charlottesville, VA USA",-78.4766781,38.0293059
"196","Annapolis, MD USA",-76.4921829,38.9784453
"197","Cumberland, MD USA",-78.7625185,39.6528654
"198","Hagerstown, MD USA",-77.7199932,39.6417629
"199","Columbia, MD USA",-76.8610462,39.2037144
"200","Greensburg, PA USA",-79.5389289,40.3014581
"201","Doverngton, DE USA",NA,NA
"202","Ellicott City, MD USA",-76.7983067,39.2673283
"203","Washington, PA USA",-80.2461714,40.17396
"204","Rockville, MD USA",-77.1527578,39.0839973
"205","Bristol, VA USA",-82.1888089,36.595141
"206","State College, PA USA",-77.8600012,40.7933949
"207","Hermitage, PA USA",-80.44868,41.2333896
"208","Fairfax, VA USA",-77.3063733,38.8462236
"209","Charleroi, PA USA",-79.8981035,40.1378499
"210","Weirton, WV USA",-80.5895167,40.4189566
"211","Danville, VA USA",-79.3950228,36.5859718
"212","Woodbridge, VA USA",-77.2497049,38.6581722
"213","Alexandria, VA USA",-77.0469214,38.8048355
"214","Frederick, MD USA",-77.4105409,39.4142688
"215","Abingdon, MD USA",-76.2772223,39.4622357
"216","Williamsburg, VA USA",-76.7074571,37.2707022
"217","Pottstown, PA USA",-75.6496302,40.2453741
"218","Fredericksburg, VA USA",-77.4605399,38.3031837
"219","Arlington, VA USA",-77.0909809,38.8816208
"220","Leesburg, VA USA",-77.5636015,39.1156615
"221","Largo, MD USA",-76.8317325,38.8779723
"222","Lemont Furnace, PA USA",-79.6642441,39.9106962
"223","Port Tobacco, MD USA",-77.018833,38.5113836
"224","Morgantown, WV USA",-79.9558968,39.629526
"225","Martinsburg, WV USA",-77.9638869,39.4562099
"226","Blacksburg, VA USA",-80.4139393,37.2295733
"227","Westminster, MD USA",-76.9958149,39.5753791
"228","Hazleton, PA USA",-75.9746472,40.9584181
"229","Harrisonburg, VA USA",-78.8689155,38.4495688
"230","Lebanon, PA USA",-76.4113497,40.3409251
"231","Salisbury, MD USA",-75.5993692,38.3606736
"232","Marietta, OH USA",-81.4548436,39.415352
"233","Winchester, VA USA",-78.1633341,39.1856597
"234","Wilkes Barre, PA USA",-75.8813075,41.2459149
"235","Elkton, MD USA",-75.8332718,39.6067789
"236","California, MD USA",-76.5074542,38.3004029
"237","Prince Frederick, MD USA",-76.5844017,38.5403996
"238","Scotrun, PA USA",-75.3168751,41.0611335
"239","Jim Thorpe, PA USA",-75.7324127,40.8759235
"240","Staunton, VA USA",-79.0716958,38.149576
"241","Chattanooga, TN USA",-85.3096801,35.0456297
"242","Knoxville, TN USA",-83.9207392,35.9606384
"243","Memphis, TN USA",-90.0489801,35.1495343
"244","Nashville, TN USA",-86.7816016,36.1626638
"245","Asheville, NC USA",-82.5514869,35.5950581
"246","Wilmington, NC USA",-77.9447102,34.2257255
"247","Raleigh, NC USA",-78.6381787,35.7795897
"248","Charlotte, NC USA",-80.8431267,35.2270869
"249","Fayetteville, NC USA",-78.8783585,35.0526641
"250","Gastonia, NC USA",-81.1873005,35.262082
"251","High Point, NC USA",-80.0053176,35.9556923
"252","Winston-Salem, NC USA",-80.244216,36.0998596
"253","Gulfport, MS USA",-89.0928155,30.3674198
"254","Jackson, MS USA",-90.1848103,32.2987573
"255","Ashland, KY USA",-82.6379387,38.4784144
"256","Lexington, KY USA",-84.5037164,38.0405837
"257","Louisville, KY USA",-85.7584557,38.2526647
"258","Fort Wright, KY USA",-84.5350292,39.0511558
"259","Owensboro, KY USA",-87.1111676,37.7719074
"260","Albany, GA USA",-84.155741,31.5785074
"261","Atlanta, GA USA",-84.3879824,33.7489954
"262","Augusta, GA USA",-82.0105148,33.4734978
"263","Columbus, GA USA",-84.9877094,32.4609764
"264","Savannah, GA USA",-81.0998342,32.0835407
"265","Bradenton, FL USA",-82.5748194,27.4989278
"266","St. Petersburg, FL USA",-82.6267345,27.7518284
"267","Fort Myers, FL USA",-81.8723084,26.640628
"268","Plantation, FL USA",-80.2331036,26.1275862
"269","Gainesville, FL USA",-82.3248262,29.6516344
"270","Lakeland, FL USA",-81.9498042,28.0394654
"271","South Daytona, FL USA",-81.0044995,29.1658158
"272","Miami, FL USA",-80.1917902,25.7616798
"273","Orlando, FL USA",-81.3792365,28.5383355
"274","Tallahassee, FL USA",-84.2807329,30.4382559
"275","West Palm Beach, FL USA",-80.0533746,26.7153424
"276","Pensacola, FL USA",-87.2169149,30.421309
"277","Jacksonville, FL USA",-81.655651,30.3321838
"278","Tampa, FL USA",-82.4571776,27.950575
"279","Birmingham, AL USA",-86.80249,33.5206608
"280","Mobile, AL USA",-88.0398912,30.6953657
"281","Montgomery, AL USA",-86.2999689,32.3668052
"282","Tuscaloosa, AL USA",-87.5691735,33.2098407
"283","Sarasota, FL USA",-82.5306527,27.3364347
"284","Athens, GA USA",-83.357567,33.9519347
"285","Gadsden, AL USA",-86.0066386,34.014264
"286","New Smyrna Beach, FL USA",-80.9269984,29.0258191
"287","Chapel Hill, NC USA",-79.0558445,35.9131996
"288","Greenville, SC USA",-82.3940104,34.8526176
"289","Johnson City, TN USA",-82.3534727,36.3134397
"290","Bristol, TN USA",-82.1887444,36.5951059
"291","Florence, SC USA",-79.7625625,34.1954331
"292","Jackson, TN USA",-88.8139469,35.6145169
"293","Rome, GA USA",-85.1646726,34.257038
"294","Hattiesburg, MS USA",-89.2903392,31.3271189
"295","Columbia, SC USA",-81.0348144,34.0007104
"296","Cocoa, FL USA",-80.7419984,28.3861159
"297","Anniston, AL USA",-85.8316318,33.6598257
"298","Muscle Shoals, AL USA",-87.6675292,34.7448112
"299","Huntsville, AL USA",-86.5861037,34.7303688
"300","Opelika, AL USA",-85.3782795,32.6454116
"301","Port Richey, FL USA",-82.7195451,28.2716755
"302","Pompano Beach, FL USA",-80.1247667,26.2378597
"303","Marietta, GA USA",-84.5499327,33.952602
"304","Kingsport, TN USA",-82.5618186,36.548434
"305","Anderson, SC USA",-82.6501332,34.5034394
"306","Douglasville, GA USA",-84.7477136,33.7514966
"307","Aiken, SC USA",-81.7195533,33.5604168
"308","Fort Walton Beach, FL USA",-86.6170308,30.4200708
"309","Panama City, FL USA",-85.6602058,30.1588129
"310","Durham, NC USA",-78.898619,35.9940329
"311","Spartanburg, SC USA",-81.9320482,34.9495672
"312","Hickory, NC USA",-81.3444573,35.7344538
"313","Clarksville, TN USA",-87.3594528,36.5297706
"314","Greensboro, NC USA",-79.7919754,36.0726354
"315","Greenville, NC USA",-77.3663538,35.612661
"316","Rocky Mount, NC USA",-77.7905339,35.9382103
"317","Fort Pierce, FL USA",-80.3256056,27.4467056
"318","Sumter, SC USA",-80.3414693,33.9204354
"319","Conway, SC USA",-79.0478143,33.8360034
"320","Dothan, AL USA",-85.3904888,31.2232313
"321","Vero Beach, FL USA",-80.3972736,27.6386434
"322","Research Triangle Park, NC USA",-78.8636402,35.8991678
"323","Fort Lauderdale, FL USA",-80.1373174,26.1224386
"324","Charleston, SC USA",-79.9310512,32.7764749
"325","Decatur, AL USA",-86.9833417,34.6059253
"326","Stuart, FL USA",-80.2528257,27.197548
"327","Miami Beach, FL USA",-80.1300455,25.790654
"328","Ocala, FL USA",-82.1400923,29.1871986
"329","Bartow, FL USA",-81.8431374,27.8964147
"330","Punta Gorda, FL USA",-82.0453664,26.9297836
"331","Macon, GA USA",-83.6324022,32.8406946
"332","Lexington, NC USA",-80.2533838,35.8240265
"333","Goldsboro, NC USA",-77.9927651,35.3848841
"334","Lawrenceville, GA USA",-83.9879625,33.9562149
"335","Naples, FL USA",-81.7948103,26.1420358
"336","Canton, GA USA",-84.4907621,34.2367621
"337","Cary, NC USA",-78.7811169,35.79154
"338","Gainesville, GA USA",-83.8240663,34.2978794
"339","Brooksville, FL USA",-82.3878709,28.5552719
"340","Bonifay, FL USA",-85.6796533,30.7918559
"341","Miami Lakes, FL USA",-80.3086619,25.9087056
"342","St. Augustine, FL USA",-81.3124341,29.9012437
"343","Jonesboro, GA USA",-84.3538128,33.5215013
"344","Tavares, FL USA",-81.725632,28.8041579
"345","Franklin, TN USA",-86.8688899,35.9250637
"346","Jacksonville, NC USA",-77.4302414,34.7540524
"347","Concord, NC USA",-80.579511,35.4087517
"348","Robertsdale, AL USA",-87.7119324,30.5538048
"349","Cleveland, TN USA",-84.8766115,35.1595182
"350","Conover, NC USA",-81.2186933,35.7065217
"351","McDonough, GA USA",-84.1468616,33.4473361
"352","Bowling Green, KY USA",-86.4808043,36.9685219
"353","Murfreesboro, TN USA",-86.39027,35.8456213
"354","Rock Hill, SC USA",-81.0250784,34.9248667
"355","St. Thomas, VI USA",-64.8940946,18.3380965
"356","Elizabethtown, KY USA",-85.8649408,37.7030646
"357","Hinesville, GA USA",-81.5959453,31.846877
"358","Statesville, NC USA",-80.8872959,35.7826363
"359","Moncks Corner, SC USA",-80.0131374,33.1960027
"360","Clemson, SC USA",-82.8373654,34.6834382
"361","Raeford, NC USA",-79.2241997,34.9809995
"362","New Bern, NC USA",-77.0441143,35.108493
"363","LaGrange, KY USA",-85.3788468,38.4075666
"364","Prattville, AL USA",-86.4596966,32.4640245
"365","Kannapolis, NC USA",-80.6217341,35.4873613
"366","Monroe, NC USA",-80.5495112,34.9854275
"367","Salisbury, NC USA",-80.4742261,35.6709727
"368","Burlington, NC USA",-79.4377991,36.0956918
"369","Waynesville, NC USA",-82.9887477,35.4887145
"370","Hendersonville, NC USA",-82.4609528,35.3187279
"371","Hillsborough, NC USA",-79.0997347,36.0754183
"372","Sanford, FL USA",-81.269453,28.8028612
"373","Lancaster, SC USA",-80.7709014,34.7204257
"374","Bay Minette, AL USA",-87.7730474,30.8829628
"375","Bunnell, FL USA",-81.2578416,29.4660863
"376","Lecanto, FL USA",-82.4875981,28.8516486
"377","Appleton, WI USA",-88.4153847,44.2619309
"378","Green Bay, WI USA",-88.019826,44.519159
"379","Kenosha, WI USA",-87.8211854,42.5847425
"380","La Crosse, WI USA",-91.2395807,43.8013556
"381","Madison, WI USA",-89.4012302,43.0730517
"382","Racine, WI USA",-87.7828523,42.7261309
"383","Milwaukee, WI USA",-87.9064736,43.0389025
"384","Oshkosh, WI USA",-88.5426136,44.0247062
"385","Akron, OH USA",-81.5190053,41.0814447
"386","Canton, OH USA",-81.378447,40.7989473
"387","Cincinnati, OH USA",-84.5120196,39.1031182
"388","Cleveland, OH USA",-81.6943605,41.49932
"389","Columbus, OH USA",-82.9987942,39.9611755
"390","Dayton, OH USA",-84.1916069,39.7589478
"391","Hamilton, OH USA",-84.5613355,39.3995008
"392","Middletown, OH USA",-84.3982763,39.5150576
"393","Springfield, OH USA",-83.8088171,39.9242266
"394","Kent, OH USA",-81.3578859,41.1536674
"395","Toledo, OH USA",-83.555212,41.6639383
"396","Youngstown, OH USA",-80.6495194,41.0997803
"397","Duluth, MN USA",-92.1004852,46.7866719
"398","Moorhead, MN USA",-96.7678039,46.8737648
"399","Minneapolis, MN USA",-93.2650108,44.977753
"400","St. Cloud, MN USA",-94.1632404,45.5579451
"401","Bay City, MI USA",-83.8888647,43.5944677
"402","Battle Creek, MI USA",-85.1797142,42.3211522
"403","Detroit, MI USA",-83.0457538,42.331427
"404","Flint, MI USA",-83.6874562,43.0125274
"405","Grand Rapids, MI USA",-85.6680863,42.9633599
"406","Jackson, MI USA",-84.4013462,42.245869
"407","Kalamazoo, MI USA",-85.5872286,42.2917069
"408","Lansing, MI USA",-84.5555347,42.732535
"409","Muskegon Heights, MI USA",-86.2389464,43.2011264
"410","Niles, MI USA",-86.2541768,41.8297694
"411","Saginaw, MI USA",-83.9508068,43.4194699
"412","Ann Arbor, MI USA",-83.7430378,42.2808256
"413","Anderson, IN USA",-85.6802541,40.1053196
"414","East Chicago, IN USA",-87.4547635,41.6392024
"415","Evansville, IN USA",-87.5710898,37.9715592
"416","Fort Wayne, IN USA",-85.1393513,41.079273
"417","Gary, IN USA",-87.3464271,41.5933696
"418","Normal, IL USA",-88.9906312,40.5142026
"419","Crown Point, IN USA",-87.3653135,41.4169806
"420","Indianapolis, IN USA",-86.158068,39.768403
"421","Lafayette, IN USA",-86.8752869,40.4167022
"422","South Bend, IN USA",-86.2519898,41.6763545
"423","Terre Haute, IN USA",-87.4139092,39.4667034
"424","Muncie, IN USA",-85.3863599,40.1933767
"425","Loves Park, IL USA",-89.0581621,42.3200189
"426","Peoria, IL USA",-89.5889864,40.6936488
"427","Moline, IL USA",-90.5151342,41.5067003
"428","Rockford, IL USA",-89.0939952,42.2711311
"429","Springfield, IL USA",-89.6501481,39.7817213
"430","Urbana, IL USA",-88.2072697,40.1105875
"431","Decatur, IL USA",-88.9548001,39.8403147
"432","Pekin, IL USA",-89.640658,40.5675388
"433","Chicago, IL USA",-87.6297982,41.8781136
"434","Sheboygan, WI USA",-87.71453,43.7508284
"435","Mansfield, OH USA",-82.5154471,40.75839
"436","Wausau, WI USA",-89.6301221,44.9591352
"437","Rochester, MN USA",-92.4801989,44.0121221
"438","Lima, OH USA",-84.1052256,40.742551
"439","Waukesha, WI USA",-88.2314813,43.0116784
"440","Elyria, OH USA",-82.1076486,41.3683798
"441","Michigan City, IN USA",-86.8950297,41.7075394
"442","Eau Claire, WI USA",-91.4984941,44.811349
"443","Hammond, IN USA",-87.5000412,41.5833688
"444","Chesterton, IN USA",-87.0641992,41.6105937
"445","Portage, IN USA",-87.1761455,41.5758707
"446","Henderson, KY USA",-87.5900134,37.8361538
"447","Janesville, WI USA",-89.0187222,42.6827885
"448","Beloit, WI USA",-89.0317765,42.5083482
"449","Bloomington, IN USA",-86.5263857,39.165325
"450","Arlington Heights, IL USA",-87.9806265,42.0883603
"451","Grand River, OH USA",-81.2812144,41.7361547
"452","Merrillville, IN USA",-87.3328139,41.4828144
"453","Valparaiso, IN USA",-87.0611412,41.4730948
"454","Benton Harbor, MI USA",-86.4541894,42.1167065
"455","Chippewa Falls, WI USA",-91.3929348,44.9369054
"456","Kankakee, IL USA",-87.8611531,41.1200325
"457","Newark, OH USA",-82.4012642,40.0581205
"458","Steubenville, OH USA",-80.6339638,40.3697905
"459","Brunswick, OH USA",-81.8418006,41.2381096
"460","Kokomo, IN USA",-86.1336033,40.486427
"461","Granite City, IL USA",-90.1487199,38.7014389
"462","Holland, MI USA",-86.1089301,42.7875235
"463","Port Huron, MI USA",-82.4249142,42.9708634
"464","Oakbrook Terrace, IL USA",-87.9645077,41.8500302
"465","Onalaska, WI USA",-91.2351393,43.8844092
"466","Schaumburg, IL USA",-88.0834059,42.0333607
"467","St. Paul, MN USA",-93.0899578,44.9537029
"468","Bourbonnais, IL USA",-87.879523,41.1760108
"469","West Bend, WI USA",-88.1834277,43.4252776
"470","Port Washington, WI USA",-87.875644,43.3872247
"471","Laporte, IN USA",-86.7227195,41.611143
"472","Xenia, OH USA",-83.9296526,39.6847822
"473","Batavia, OH USA",-84.1768795,39.0770072
"474","St. Johns, MI USA",-84.5591521,43.001143
"475","Troy, OH USA",-84.2032767,40.0394982
"476","Fond du Lac, WI USA",-88.4470508,43.7730448
"477","Danville, IL USA",-87.6300207,40.124481
"478","Niles, OH USA",-80.765358,41.1828353
"479","DeKalb, IL USA",-88.7503647,41.9294736
"480","Columbus, IN USA",-85.9213796,39.2014404
"481","Howell, MI USA",-83.9293952,42.6072552
"482","Grand Haven, MI USA",-86.2283864,43.0630734
"483","Ironton, OH USA",-82.6829406,38.5367471
"484","Farmington Hills, MI USA",-83.3677168,42.4989936
"485","Belvidere, IL USA",-88.8442674,42.2639098
"486","Shelby, OH USA",-82.6618424,40.8814452
"487","Warren, OH USA",-80.8184166,41.2375569
"488","Medina, OH USA",-81.8552196,41.143245
"489","Delaware, OH USA",-83.067965,40.2986724
"490","Lebanon, OH USA",-84.2029922,39.4353373
"491","Greenfield, IN USA",-85.7694226,39.785043
"492","Carbondale, IL USA",-89.2167501,37.7272727
"493","Mankato, MN USA",-93.9993996,44.1635775
"494","Midland, MI USA",-84.2472116,43.6155825
"495","Hartford, WI USA",-88.3789862,43.3177794
"496","Harrisburg, IL USA",-88.540607,37.7383812
"497","Rockton, IL USA",-89.0723317,42.4525157
"498","Sycamore, IL USA",-88.6867538,41.9889173
"499","City of Plymouth, MN USA",-93.4555093,45.0105194
"500","Maple Grove, MN USA",-93.4557877,45.0724642
"501","Eden Prairie, MN USA",-93.470786,44.8546856
"502","Burnsville, MN USA",-93.2777226,44.7677424
"503","Stoughton, WI USA",-89.2178937,42.9169462
"504","Amarillo, TX USA",-101.8312969,35.2219971
"505","El Paso, TX USA",-106.4850217,31.7618778
"506","Fort Worth, TX USA",-97.3307658,32.7554883
"507","Houston, TX USA",-95.3698028,29.7604267
"508","Laredo, TX USA",-99.4803241,27.5305671
"509","Lubbock, TX USA",-101.8551665,33.5778631
"510","San Antonio, TX USA",-98.4936282,29.4241219
"511","Waco, TX USA",-97.1466695,31.549333
"512","Port Arthur, TX USA",-93.939947,29.8849504
"513","Brownsville, TX USA",-97.4974838,25.9017472
"514","Galveston, TX USA",-94.7976958,29.3013479
"515","Beaumont, TX USA",-94.1265562,30.080174
"516","Oklahoma City, OK USA",-97.5164276,35.4675602
"517","Tulsa, OK USA",-95.992775,36.1539816
"518","Albuquerque, NM USA",-106.6055534,35.0853336
"519","Baton Rouge, LA USA",-91.1403196,30.4582829
"520","Harahan, LA USA",-90.2031313,29.9404826
"521","Lake Charles, LA USA",-93.2173758,30.2265949
"522","Shreveport, LA USA",-93.7501789,32.5251516
"523","Alexandria, LA USA",-92.4451371,31.3112936
"524","Monroe, LA USA",-92.1193012,32.5093109
